title,summary,informative,sentiment,url,press
"풀무원, 2분기 양호한 실적·해외 턴어라운드 기대에 강세",풀무원이 2분기 양호한 실적과 해외 턴어라운드 기대감에 힘입어 강세를 보이고 있다. 26일 오전 10시32분 현재 풀무원은 전일 …,1,1,https://n.news.naver.com/mnews/article/015/0004729001?sid=101,한국경제
[모멘트] 고물가 여파에도 '프리미엄' 추석선물 인기,추석(9월 10일)을 앞두고 백화점들이 순차적으로 추석 선물세트 본판매를 시작한 19일 서울 시내 한 백화점에 선물세트가 진열되 …,0,0,https://n.news.naver.com/mnews/article/001/0013386192?sid=101,연합뉴스
[신팔도 명물]  제주 바나나,"한때 효자작물로 각광을 받다 수입산 농산물에 밀려 자취를 감췄던 제주산 바나나가 최근 화려하게 부활, 제주의 새로운 특산품으로  …",0,0,https://n.news.naver.com/mnews/article/088/0000770269?sid=103,매일신문
"'지방소멸대응기금 210억 확보'…신안군, 투자계획 평가서 A등급",전남 신안군이 지방소멸대응기금으로 향후 2년간 국비 210억원 등 총 329억원의 기금을 확보했다. 신안군은 17일 행정안전부와 …,0,0,https://n.news.naver.com/mnews/article/022/0003726095?sid=102,세계일보
"SK바이오사이언스, '국산 1호' 코로나 백신 유럽 허가 신청",SK바이오사이언스는 오늘(1일) 유럽의약품청(EMA)에 코로나19 백신 '스카이코비원'에 대한 조건부 품목허가를 신청했다고 밝혔 …,1,0,https://n.news.naver.com/mnews/article/374/0000297093?sid=101,SBS Biz
"""법인세 인하땐 CJ·LG전자 이익 10% 증가""","정부 세제개편案, 증시 영향은 법인세 최고세율 22%로 내리면 코스피 이익 3%가량 증가 기대 기업 배당금 과세부담 완화 땐 韓 …",1,1,https://n.news.naver.com/mnews/article/009/0004996095?sid=101,매일경제
강원기업 38% 수출 포기 '빈익빈 부익부',코로나19 장기화로 강원 수출기업의 빈익빈부익부가 점점 심화되는 가운데 도내 수출 활동기업 중 1년차 생존률은 36.4%에 불과 …,0,0,https://n.news.naver.com/mnews/article/654/0000016388?sid=101,강원도민일보
[부산소식]기장군 '학교 밖 청소년 대학 탐방' 등,부산 기장군은 학교 밖 청소년 30명을 대상으로 '학교 밖 청소년 대학 탐방' 프로그램을 진행했다고 19일 밝혔다. '학교 밖  …,0,0,https://n.news.naver.com/mnews/article/003/0011373448?sid=102,뉴시스
"신성이엔지, 반기 기준 최대 수주액 달성에 주가 ↑",신성이엔지가 창사 이래 반기 기준 최대 규모 수주액을 달성했다는 소식에 주가가 오르고 있다. 3일 오전 9시12분 기준 신성이엔 …,1,1,https://n.news.naver.com/mnews/article/015/0004732241?sid=101,한국경제
우리은행 횡령·환치기 사태인데…노조도 논란,"기사내용 요약 익명 게시판 ""노조가 해외 외유"" 비판 회사 측 ""해외 직원 고충 청취 차원"" [서울=뉴시스] 이정필 기자 = 우 …",1,-1,https://n.news.naver.com/mnews/article/003/0011338079?sid=101,뉴시스
"(주)GS, 2분기 어닝 서프라이즈","GS그룹 지주사인 ㈜GS는 10일 2022년 2분기 매출은 전년 동기 대비 63.5% 증가한 7조 2627억원, 영업이익은 21 …",1,0,https://n.news.naver.com/mnews/article/023/0003709117?sid=101,조선일보
"""시장추정치 상회""...삼성카드, 어닝서프라이즈에 상승세",삼성카드가 시장추정치를 상회하는 2분기 실적을 발표하자 장 초반 상승세를 보이고 있다. 25일 9시 11분 현재 삼성카드는 전  …,1,1,https://n.news.naver.com/mnews/article/215/0001044617?sid=101,한국경제TV
"""옥수수로 스판덱스를?""…효성티앤씨, 세계 최초 상용화에 '급등'",효성티앤씨가 세계 최초로 옥수수를 활용한 바이오 스판덱스 상용화에 성공했다는 소식에 주가가 급등세다. 11일 오전 9시 17분  …,1,1,https://n.news.naver.com/mnews/article/215/0001047958?sid=101,한국경제TV
"넥슨화장품 '다보', 알로에 베라 부스팅 앰플 크림 출시",넥슨화장품(대표 박현준)의 자연주의 화장품 브랜드 '다보(DABO)'가 피부 수분 진정에 특화된 알로에 크림 신제품을 출시했다고 …,0,0,https://n.news.naver.com/mnews/article/008/0004784148?sid=101,머니투데이
가덕신공항 기본계획용역 또 유찰…수의계약 후 진행,가덕신공항 건설사업 타당성 평가와 기본계획 수립 용역 재입찰이 유찰돼 국토교통부가 수의계약으로 용역을 진행하기로 했습니다. 최근 …,0,0,https://n.news.naver.com/mnews/article/056/0011323521?sid=102,KBS
"유틸렉스, '4-1BB' 항체치료제 러시아 특허 강화",유틸렉스는 '4-1BB' 항체 기술의 러시아 특허권을 강화했다고 3일 밝혔다. 유틸렉스의 'EU101'은 다른 4-1BB 항체  …,1,1,https://n.news.naver.com/mnews/article/015/0004732383?sid=101,한국경제
"삼성전기, 2Q 영업익 3600억…고사양 제품 성장",삼성전기는 27일 연결 재무제표 기준으로 2분기 영업이익이 지난해 같은 기간보다 0.6% 늘어난 3천601억원으로 잠정 집계됐다 …,1,1,https://n.news.naver.com/mnews/article/092/0002263711?sid=105,ZDNet Korea
"메디톡스 中파트너사, 보툴리눔 제제 계약해지 통보",메디톡스 중국 사업 파트너 블루미지 바이오테크놀로지(이하 블루미지)가 지난달 29일 메디톡스에 보툴리눔 제제 사업 협력을 해지하 …,0,0,https://n.news.naver.com/mnews/article/009/0004999548?sid=101,매일경제
[날씨] 중부·경북 차츰 비‥내일은 영동·남부 비,비구름이 몰려면서 중부 지방 곳곳에 비가 내리기 시작했습니다. 오늘은 주로 중부와 경북 지방을 중심으로 비가 내리겠고요. 내일은 …,0,0,https://n.news.naver.com/mnews/article/214/0001216811?sid=103,MBC
"구리경찰서, 금융기관 7곳과 보이스피싱 예방 업무협약",경기 구리경찰서는 전화금융사기 피해 예방을 위해 지역 금융기관 7곳과 업무협약을 체결했다고 28일 밝혔다. 구리경찰서와 각 금융 …,0,0,https://n.news.naver.com/mnews/article/003/0011332482?sid=102,뉴시스
"건강한 장, 운동선수 경기력 높인다 (연구)",장내 미생물이 불안정해지면 지구력 운동선수의 성과를 저해할 수 있다는 연구 결과가 나왔다. 단기간 동안 고단백질 식단을 섭취하는 …,0,0,https://n.news.naver.com/mnews/article/296/0000058057?sid=103,코메디닷컴
"美·EU 2차 부스터샷 권고…나노엔텍, 항원·항체 진단키트 실적랠리 이어갈까",전 세계 코로나 재유행 조짐으로 미국과 유럽 국가들이 속속 4차 백신(2차 부스터샷) 접종 권고에 나서고 있다. 전염성이 강한  …,1,1,https://n.news.naver.com/mnews/article/014/0004872989?sid=101,파이낸셜뉴스
"[공시]카나리아바이오, 엘에스엘씨엔씨 흡수 합병",카나리아바이오는 엘에스엘씨엔씨를 흡수합병한다고 12일 공시했다. 카나리아바이오와 엘에스엘씨엔씨의 합병비율은 1대 0이다. 합병기 …,1,0,https://n.news.naver.com/mnews/article/014/0004882493?sid=101,파이낸셜뉴스
"LG전자, 항바이러스 시험소도 인증 획득",LG전자가 항균과 항곰팡이에 이어 항바이러스 성능을 분석하고 평가할 수 있는 시험소 인증을 획득했다. 15일 LG전자는 품질경영 …,0,0,https://n.news.naver.com/mnews/article/009/0005004603?sid=101,매일경제
"이자수익 늘고 건전성 탄탄…농협금융, 상반기 '실적 질주'",농협금융지주와 JB금융지주가 올해 상반기 사상 최대 실적을 올렸다. 농협금융은 올 2분기 당기순이익이 7542억원으로 분기 기준 …,1,1,https://n.news.naver.com/mnews/article/015/0004729241?sid=101,한국경제
"위메이드 영업적자, ""위믹스 확장 위한 인건비·마케팅 요인""",위메이드 장현국 대표가 블록체인 플랫폼 위믹스에 대한 공격적인 투자가 올해 2분기 실적 악화 요인이라고 밝혔다. 특히 블록체인  …,1,-1,https://n.news.naver.com/mnews/article/138/0002129487?sid=105,디지털데일리
LG유플러스 '안전보건' 우수... 모든 사업부문 국제인증 획득,"LG유플러스는 모든 사업부문에서 국제 표준 안전보건 경영시스템 'ISO 45001' 인증을 획득하고, 글로벌 전문기관으로부터 인 …",0,1,https://n.news.naver.com/mnews/article/014/0004872066?sid=101,파이낸셜뉴스
수만 명 모이는 '펜타포트' 스타트…코로나 대비 격리부스 마련,"국내 최대 음악축제 가운데 하나인 펜타포트 록 페스티벌이 3년 만에 열렸습니다. 사흘간 수만 명이 찾을 것으로 예상되는데, 주최 …",0,0,https://n.news.naver.com/mnews/article/057/0001681783?sid=102,MBN
"엔지켐생명과학, 원료의약품 수익 개선",엔지켐생명과학이 고품질 원료의약품 대량생산 시대를 준비중이다. 엔지켐생명과학은 올 4·4분기 제천1공장 리노베이션 완료가 임박했 …,1,1,https://n.news.naver.com/mnews/article/014/0004883819?sid=103,파이낸셜뉴스
“삼성·SK 잡아라” D램 개발 속도 내는 대만 난야… 10나노 생산 2배 늘린다,10㎚급 D램 생산공장 착공 2024년 10㎚급 3세대 양산 목표 EUV 공정 활용한 4세대 D램 개발 중 한국과 기술격차 4~ …,1,0,https://n.news.naver.com/mnews/article/366/0000831606?sid=105,조선비즈
"“GS리테일, 김밥·도시락 업체에 장려금 요구”…“과징금 2백억 원”",공정거래위원회가 GS리테일에 2백억 원대의 과징금을 부과하기로 결정했습니다. 편의점 김밥이나 도시락 등의 생산을 맡겨놓고 업체들 …,1,-1,https://n.news.naver.com/mnews/article/056/0011313766?sid=101,KBS
"현대해상, '디지털 창구 시스템' 오픈","현대해상은 종이 없는 창구를 위해 '디지털 창구 시스템'을 오픈했다고 4일 밝혔다. 기존 고객 창구에서는 보험금 청구, 계약자  …",0,0,https://n.news.naver.com/mnews/article/082/0001168239?sid=101,부산일보
"한국조선해양 ""후판가 추가인상 없어...흑자 기대감 커져""","한국조선해양은 29일 2분기 실적발표 컨퍼런스콜에서 ""4분기 흑자전환을 점쳤으나 강재(후판) 가격 인하 기대감 등이 반영돼 흑자 …",1,1,https://n.news.naver.com/mnews/article/008/0004776997?sid=101,머니투데이
"김앤장, '新국제조세 연구소' 설립...새 국제조세질서 대응",김앤장 법률사무소(대표변호사 정계성)는 18일 글로벌 디지털세 도입과 같이 새로운 국제조세질서에 적극 대응하기 위해 '신 국제조 …,0,0,https://n.news.naver.com/mnews/article/123/0002283513?sid=101,조세일보
"비츠로셀, 북미 수출 회복세 완연…목표가↑-신한","신한금융투자는 18일 비츠로셀(082920)에 대해 북미 주요 고객사 매출이 회복세에 접어들고, 군수용 리튬일차전지 단가가 인상 …",0,0,https://n.news.naver.com/mnews/article/018/0005294777?sid=101,이데일리
"""네오위즈, 규제완화·신작출시 기대""","네오위즈가 다소 부진한 실적을 냈음에도, 게임 규제 완화에 따른 웹보드 매출 성장 예상과 ‘P의 거짓’ 등 신작 기대감으로 '매 …",0,0,https://n.news.naver.com/mnews/article/016/0002028126?sid=101,헤럴드경제
"포스코·현대제철, 2분기 나란히 호실적…하반기엔 '보릿고개'",기사내용 요약 포스코 2분기 영업익 2조1000억…매출 23조 '역대 최대' 현대제철 2분기 영업익 8221억…전년비 50.8% …,1,1,https://n.news.naver.com/mnews/article/003/0011328154?sid=101,뉴시스
현대차·기아 美판매 감소에도… 제네시스·전기차는 잘 달렸다,현대자동차와 기아가 차량용 반도체 수급난 속에서도 지난 7월 미국 시장에서 비교적 선방한 것으로 나타났다. 특히 고급 브랜드 제 …,1,0,https://n.news.naver.com/mnews/article/014/0004877734?sid=101,파이낸셜뉴스
"한투증, 테슬라 등 해외주식 종목형 ELS 2종 모집",한국투자증권이 뱅키스 전용 해외주식형 주가연계증권(ELS) 2종을 각각 50억원 한도로 공모한다고 29일 밝혔다. ‘TRUE E …,0,0,https://n.news.naver.com/mnews/article/138/0002129709?sid=105,디지털데일리
"‘반배호황 덕’ 신성이엔지, 상반기 수주액 급증","반도체·배터리 등 전방산업 호황 덕에 신성이엔지(대표 이지선)가 상반기 최대 수주액을 달성했다. 2일 이 회사에 따르면, 올 상 …",1,1,https://n.news.naver.com/mnews/article/016/0002023601?sid=101,헤럴드경제
"위메이드, 2Q 적자전환…인건비·광고선전비 증가",위메이드(대표 장현국)가 적자전환했다. 인력 충원에 따른 인건비와 신작 게임 출시 관련 광고선전비 증가가 요인이다. 매출도 전분 …,1,-1,https://n.news.naver.com/mnews/article/009/0004996803?sid=101,매일경제
재난관리 및 지진방재 전문인력 양성 업무협약 맺는 행안부와 대학교,김성호(오른쪽) 행정안전부 재난안전관리본부장이 4일 오후 정부세종2청사 대회의실에서 열린 '재난관리 및 지진방재 전문인력 양성  …,0,0,https://n.news.naver.com/mnews/article/003/0011345811?sid=102,뉴시스
"전통주 칵테일, 백숙 모양 빵…호텔가 이색 디저트 눈길","호텔업계가 여름 더위 식혀줄 이색 디저트로 고객 유치에 나섰다. 색다른 조합으로 입맛은 물론, 기분까지 전환해줄 이른바 ‘이색  …",0,0,https://n.news.naver.com/mnews/article/011/0004082078?sid=101,서울경제
‘분리매각’ 거론되는 대우조선… “현실성 낮다” 전망도,"대우조선해양(042660)의 특수선(군함, 잠수함)과 상선(商船) 부문 분리매각 가능성이 거론되는 가운데, 조선업계에서는 상선을 …",0,0,https://n.news.naver.com/mnews/article/366/0000829873?sid=101,조선비즈
"""뉴지랩파마, KAT-101 임상 중 조기 기술 수출 가능성"" [Why 바이오]",대사항암제 ‘KAT’를 개발 중인 뉴지랩파마(214870)에 대해 순조로운 임상 진행에 따라 조기 기술 수출을 포함해 파이프라인 …,0,0,https://n.news.naver.com/mnews/article/011/0004084218?sid=101,서울경제
"KT, 르노코리아 40여 개 IT 시스템 ‘클라우드’ 전환",KT는 르노코리아자동차(르노코리아)의 40여 개 대내외 정보기술(IT) 시스템을 클라우드로 전환하는 사업을 완료했다. KT는 인 …,1,0,https://n.news.naver.com/mnews/article/050/0000061611?sid=101,한경비즈니스
"갤럭시Z폴드4, 성능은 높이고 기본모델 가격은 그대로(종합)","5천만 화소 카메라 탑재… 무게 시리즈 최저 263g 256GB 199만8천700원, 512GB 211만9천700원, 1TB 2 …",0,0,https://n.news.naver.com/mnews/article/001/0013367522?sid=101,연합뉴스
침수 식당 문 열려다 ‘펑’…“가스누출 조심하세요”,■ 방송 : 채널A 뉴스 TOP10 (17:20~19:00) ■ 방송일 : 2022년 8월 19일 (금요일) ■ 진행 : 김윤수 …,0,0,https://n.news.naver.com/mnews/article/449/0000232370?sid=102,채널A
"호텔신라, 3분기는 상반기 대비 실적 개선…'매수' 의견 -NH투자證",NH투자증권이 호텔신라에 대해 '매수' 의견을 유지하면서도 목표주가를 기존 11만원에서 10만원으로 하향했다. 앞서 호텔신라는  …,0,0,https://n.news.naver.com/mnews/article/008/0004777482?sid=101,머니투데이
삼성·현대차·LG 등 기업들 수해복구 성금 기부 행렬,"최근 집중호우로 피해를 입은 지역들의 복구를 위해 삼성, 현대차, LG, SK 등 기업들이 성금 기부 행렬에 나서고 있다. 삼성 …",0,0,https://n.news.naver.com/mnews/article/016/0002027749?sid=101,헤럴드경제
"매일유업, 2년 연속 대리점분야 공정거래협약 최우수 선정",매일유업이 공정거래위원회(이하 공정위)의 2021년 대리점분야 공정거래협약 평가에서 평가기업 중 유일하게 2년 연속 최우수등급  …,0,0,https://n.news.naver.com/mnews/article/119/0002628279?sid=101,데일리안
"""올해만 789억원""… SK바이오팜 뇌전증신약 미국서 두각",SK바이오팜의 뇌전증 혁신신약 엑스코프리(성분명 세노바메이트)가 미국 시장에서 두각을 나타내고 있다. 올해 SK바이오팜이 미국  …,1,1,https://n.news.naver.com/mnews/article/417/0000835888?sid=101,머니S
"에코백스, 20일 롯데홈쇼핑서 '디봇 X1 옴니' 선봬",에코백스코리아는 20일 밤 9시 35분부터 롯데 홈쇼핑에서 로봇청소기 '디봇 X1 옴니'를 선보인다고 19일 밝혔다. 디봇 X1 …,0,0,https://n.news.naver.com/mnews/article/030/0003038038?sid=105,전자신문
"스마트워치, 샤오미가 삼성·애플보다 '이런' 용도로 쓰기 좋다",중국 정보기술(IT)기업 샤오미의 스마트워치가 일상생활 용도로 쓰기 좋은 제품으로 평가받았다. 정보통신과 운동량·건강 관리 측면 …,0,0,https://n.news.naver.com/mnews/article/469/0000690466?sid=101,한국일보
"티웨이항공, 해외 항공권 판매망 확대…장거리 인바운드 수요 노린다",장거리 노선 공략에 나선 티웨이항공이 해외에서의 티켓 판매도 확대하고 나섰다. 해외 발권업체들과 계약을 맺고 한국 입국(인바운드 …,1,0,https://n.news.naver.com/mnews/article/082/0001169031?sid=101,부산일보
"상장 후 첫 기술수출 티움바이오…""내년 초 대규모  추가 수출 기대""",티움바이오(321550)가 개발 중인 자궁내막증 신약 후보물질을 중국 기업에 기술 수출했다. 2019년 기업공개(IPO) 후 처 …,1,1,https://n.news.naver.com/mnews/article/011/0004085726?sid=101,서울경제
"SK그룹 화학 계열사들 中·프랑스 업체와 합작, 플라스틱 재활용 사업",SK그룹의 화학 계열사들이 해외 유력 업체들과 협업을 통해 폐플라스틱 재활용 공장 건립과 공동 연구에 나선다. SK케미칼은 25 …,1,0,https://n.news.naver.com/mnews/article/023/0003706039?sid=101,조선일보
"[비즈&] 삼성 30억원, SK·현대차·LG 20억원 피해복구 성금 外","경제계 뉴스 알아보는 비즈&(앤) 시간입니다. 오늘은 어떤 소식들이 있는지 살펴보겠습니다. ▶ 삼성 30억원, SK·현대차·LG …",0,0,https://n.news.naver.com/mnews/article/422/0000555597?sid=101,연합뉴스TV
"공주대, 건강보험심사평가원 대전지원과 협약",17일 충남 공주시 공주대에서 간호보건대학과 건강보험심사평가원 대전지원이 보건의료 빅데이터 융합 인재 양성 업무 협약을 체결한  …,0,0,https://n.news.naver.com/mnews/article/003/0011368691?sid=102,뉴시스
"SK온, 독일·한국 정책 금융 기관에서 20억 달러 투자 유치",SK온이 국내외 정책 금융 기관으로부터 대규모 자금 유치에 성공해 유럽 배터리 사업 투자 재원을 확보했다. SK온은 28일 독일 …,1,1,https://n.news.naver.com/mnews/article/050/0000061541?sid=101,한경비즈니스
2차전지株 뜨고 반도체·자동차株 주춤,"미국의 인플레이션감축법(IRA) 통과, 글로벌 경기침체로 타격이 예상되는 자동차, 반도체 관련주가 주춤하고 있다. 반면 수혜가  …",0,0,https://n.news.naver.com/mnews/article/014/0004885345?sid=101,파이낸셜뉴스
"강원 동횡성농협, 취약계층 주거환경 개선","강원 동횡성농협(조합장 이재훈, 사진 왼쪽 다섯번째)이 2일 NH농협 횡성군지부(지부장 조경희)와 함께 시군활성화사업의 하나로  …",0,0,https://n.news.naver.com/mnews/article/662/0000004718?sid=102,농민신문
"KAIST 연구팀, 염증 없이 아밀로이드 잡는 기술 개발…""알츠하이머 치료 길 찾았다""",한국과학기술원(KAIST) 연구팀이 신경과 시냅스에 손상을 주는 염증 부작용을 피해 알츠하이머병을 치료하는 플랫폼 기술을 개발했 …,0,0,https://n.news.naver.com/mnews/article/015/0004734875?sid=105,한국경제
"롯데케미칼, 눈물의 적자···""흔들림 없이 그린사업 투자 잇는다""",롯데케미칼이 화학업계 시황 악화 탓에 9개 분기 만에 적자로 돌아섰다. 하반기에도 수요 부진 등 악조건이 예상되지만 단기 실적에 …,1,-1,https://n.news.naver.com/mnews/article/008/0004779733?sid=101,머니투데이
"서진시스템, 212억 규모 ESS 부품 수주",서진시스템(178320)은 25일 AST테크놀로지와 1615만3998달러(약 212억원) 규모의 에너지저장장치(ESS)용 배터리 …,1,1,https://n.news.naver.com/mnews/article/018/0005276638?sid=101,이데일리
10년만에 적자낸 태광산업 '재무구조는 탄탄',태광산업이 올 2분기 영업손실을 기록했다. 국제 유가상승으로 원자재 가격이 뛰면서 수익성이 악화한 탓이다. 분기 기준으로 영업손 …,1,-1,https://n.news.naver.com/mnews/article/648/0000009799?sid=101,비즈니스워치
포스코 지주사 포항이전 1인 시위자에...'1억 손해배상청구',"시민들 ""포항시의회의 무능과 무기력함에 분노"" 비판 쏟아져 포스코가 지난 12일부터 서울 포스코센터 앞에서 ‘포스코지주사·미래기 …",0,0,https://n.news.naver.com/mnews/article/002/0002253012?sid=102,프레시안
"'GS25' 운영 지에스리테일, PB제조업자에 판촉비 등 부당요구",편의점 브랜드 'GS25'를 운영하는 ㈜지에스리테일이 하도급법 위반행위로 공정거래위원회로부터 시정명령과 함께 과징금 243억68 …,1,-1,https://n.news.naver.com/mnews/article/119/0002626651?sid=101,데일리안
중국서 쪼그라든 ‘메이드 인 코리아’… 현대차·삼성·LG  中점유율 8년새 급락,[上] 中정부 보조금 공세에 경쟁력 잃은 한국제품 베이징 토박이인 판모(25·대학원생)씨는 “어릴 적엔 부모님이 사주신 LG T …,1,-1,https://n.news.naver.com/mnews/article/023/0003705858?sid=101,조선일보
동해시 SNS 활성화로 시민 소통 강화,"동해시가 SNS 활성화를 통해 시민 소통을 강화한다. 시는 현재 공식 SNS로 동해시 페이스북, 인스타그램, 카카오채널, 블로그 …",0,0,https://n.news.naver.com/mnews/article/087/0000918031?sid=102,강원일보
"[특징주] SK가스, 러시아 가스 공급 감축에 관련주 부각… 3%↑",SK가스가 러시아가 유럽연합(EU) 회원국인 라트비아에 대한 가스 공급을 중단했다는 소식에 상승세다. 1일 오전 9시25분 SK …,0,0,https://n.news.naver.com/mnews/article/417/0000838175?sid=101,머니S
LG엔솔의 악재는 오늘부터 호재가 된다,'겹악재에도 선방'. 의무보유 물량이 풀리고 2·4분기 실적까지 발표됐지만 LG에너지솔루션 주가는 약보합세를 보이며 선방했다.  …,0,0,https://n.news.naver.com/mnews/article/014/0004874075?sid=101,파이낸셜뉴스
"""12여년만에 40만명""… 삼성화재, 다이렉트 운전자보험 돌풍",삼성화재가 다이렉트 운전자보험을 출시한지 12여년 만에 40만건 이상 판매했다. 16일 보험업계에 따르면 지난 2010년 12월 …,0,0,https://n.news.naver.com/mnews/article/417/0000842918?sid=101,머니S
"신동빈, 5대 그룹 총수 가운데  '연봉' 가장 많아…올 상반기 103억 수령(종합)","기사내용 요약 2위 LG 구광모…현대차 정의선, SK 최태원 순 삼성 이재용, 5년째 '무보수' 경영 이어가 [서울=뉴시스] 이 …",0,0,https://n.news.naver.com/mnews/article/003/0011366300?sid=101,뉴시스
"넥슨 '피온4', K리그 중계권 확보…'이스타TV'와 함께 중계한다",넥슨이 스포츠 게임을 앞세워 국내 게임사 중 처음으로 국내 프로축구 중계권을 따냈다. 중계는 피온4 공식 홈페이지를 통해서 이뤄 …,0,0,https://n.news.naver.com/mnews/article/014/0004879463?sid=101,파이낸셜뉴스
"삼성, 2분기 인도 스마트폰 시장 2위…5G폰은 1위",삼성전자가 올해 2분기 인도 스마트폰 시장에서 지난해 같은 기간 보다 14% 성장하며 점유율 2위를 기록했다. 1위 중국 샤오미 …,1,0,https://n.news.naver.com/mnews/article/215/0001047058?sid=101,한국경제TV
금호석유화학 “미래 친환경 산업에서 금맥 캐내겠다”,금호석유화학그룹이 연구·개발(R&D) 역량을 강화해 친화경 고부가가치 사업 선점에 나선다. 금호석유화학그룹은 올해 ‘지속성장 기 …,1,1,https://n.news.naver.com/mnews/article/243/0000029324?sid=101,이코노미스트
가격전가력의 힘…한국타이어앤테크놀로지 7%대 급등,한국타이어앤테크놀로지(이하 한국타이어)가 가격전가력을 앞세워 불리한 시장 환경을 극복하고 ‘깜짝 실적(어닝 서프라이즈)’을 기록 …,1,0,https://n.news.naver.com/mnews/article/015/0004732407?sid=101,한국경제
"비에이치, 2Q 영업익 240억원…전년비 흑자전환",비에이치(090460)는 올 2분기 영업이익이 240억5200만원으로 전년 동기 대비 흑자전환했다고 25일 공시했다. 같은 기간 …,1,1,https://n.news.naver.com/mnews/article/018/0005276334?sid=101,이데일리
"테슬라도 제친 기아, 스웨덴 전기차 시장 이끈다","기아가 스웨덴 전기차 시장에서 선전하고 있다. 토종 브랜드인 볼보, 폴스타부터 전 세계 1위 전기차 브랜드 테슬라까지 모두 압도 …",1,1,https://n.news.naver.com/mnews/article/243/0000029570?sid=101,이코노미스트
"식약처, 셀리드 코로나19 오미크론 백신 1·2상 승인",식품의약품안전처는 셀리드가 개발중인 코로나19 오미크론 백신 ‘AdCLD-CoV19-1 OMI’의 1·2상 임상시험계획을 지난  …,1,1,https://n.news.naver.com/mnews/article/092/0002264626?sid=105,ZDNet Korea
